Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
69,Kirk Hinrich\hinriki01,PG,23,CHI,76,66,35.6,4.2,10.8,.386,1.9,4.9,.390,2.3,6.0,.383,.474,1.8,2.2,.804,0.6,2.9,3.4,6.8,1.3,0.3,2.7,3.6,12.0
70,Vladimir Radmanović\radmavl01,PF,23,SEA,77,38,30.1,4.5,10.5,.425,1.8,4.9,.371,2.7,5.6,.471,.511,1.2,1.6,.748,1.4,3.9,5.3,1.8,1.0,0.5,1.4,2.4,12.0
71,Nenê\hilarne01,PF,21,DEN,77,77,32.5,4.3,8.2,.530,0.0,0.0,.000,4.3,8.2,.532,.530,3.1,4.6,.682,2.0,4.5,6.5,2.2,1.5,0.5,2.4,3.6,11.8
72,Jeff McInnis\mcinnje01,SG-PG,29,TOT,70,57,33.8,4.8,10.7,.447,0.7,1.8,.362,4.1,8.9,.465,.478,1.6,2.0,.797,0.5,2.0,2.5,6.1,1.0,0.1,1.7,2.3,11.8
73,Clifford Robinson\robincl02,PF,37,GSW,82,82,34.7,4.5,11.5,.387,1.4,3.8,.357,3.1,7.7,.403,.447,1.5,2.1,.711,0.7,3.3,3.9,3.3,0.8,0.9,2.1,2.9,11.8
74,Mike Dunleavy\dunlemi02,SF,23,GSW,75,69,31.1,4.3,9.6,.449,1.3,3.4,.370,3.1,6.2,.491,.514,1.8,2.5,.741,1.2,4.7,5.9,2.9,0.9,0.2,1.9,2.3,11.7
75,Drew Gooden\goodedr01,PF,22,ORL,79,17,27.0,4.7,10.5,.445,0.1,0.5,.214,4.6,10.0,.457,.451,2.1,3.3,.637,2.0,4.5,6.5,1.1,0.8,0.9,1.6,2.5,11.6
76,Chris Bosh\boshch01,C,19,TOR,75,63,33.5,4.4,9.5,.459,0.1,0.2,.357,4.3,9.3,.461,.463,2.7,3.8,.701,2.5,4.9,7.4,1.0,0.8,1.4,1.4,2.9,11.5
77,Maurice Taylor\tayloma01,PF,27,HOU,75,10,27.7,4.9,10.2,.480,0.0,0.0,.000,4.9,10.2,.481,.480,1.7,2.3,.736,1.7,3.4,5.1,1.4,0.6,0.6,2.0,3.4,11.5
78,DeShawn Stevenson\stevede01,SG-SF,22,TOT,80,78,30.6,4.7,10.9,.432,0.2,0.9,.268,4.5,10.0,.446,.443,1.7,2.6,.676,1.0,2.7,3.7,2.0,0.7,0.2,1.5,1.8,11.4
79,Gordan Giriček\giricgo01,SF-SG,26,TOT,73,43,28.0,4.3,9.9,.436,0.8,2.1,.395,3.5,7.8,.448,.478,1.8,2.2,.854,0.7,2.4,3.1,1.7,0.8,0.2,1.4,2.0,11.3
80,Raja Bell\bellra01,SG,27,UTA,82,4,24.6,4.0,9.8,.409,0.8,2.0,.373,3.3,7.8,.418,.447,2.4,3.0,.786,0.7,2.2,2.9,1.3,0.8,0.2,1.4,3.2,11.2
81,Kurt Thomas\thomaku01,PF,31,NYK,80,75,31.9,4.9,10.4,.473,0.0,0.0,.000,4.9,10.3,.475,.473,1.3,1.6,.835,1.8,6.5,8.3,1.9,0.7,1.0,1.7,3.7,11.1
82,Kwame Brown\brownkw01,PF,21,WAS,74,57,30.3,3.9,8.0,.489,0.0,0.0,.500,3.9,7.9,.489,.490,3.1,4.5,.683,2.4,5.0,7.4,1.5,0.9,0.7,1.9,1.9,10.9
83,Darius Miles\milesda01,SF,22,TOT,79,56,26.3,4.6,9.5,.485,0.1,0.5,.175,4.5,9.0,.502,.489,1.6,2.4,.642,1.4,3.1,4.5,2.1,0.8,0.8,1.6,2.1,10.9
84,Joe Smith\smithjo02,PF,28,MIL,76,76,29.7,4.1,9.3,.439,0.0,0.1,.200,4.1,9.3,.441,.440,2.7,3.2,.859,3.0,5.4,8.5,1.0,0.6,1.2,1.1,2.8,10.9
85,Jason Williams\willija02,PG,28,MEM,72,68,29.4,4.0,9.9,.407,1.7,5.1,.330,2.4,4.8,.487,.491,1.1,1.4,.837,0.3,1.7,2.0,6.8,1.3,0.1,1.9,1.3,10.9
86,Darrell Armstrong\armstda01,PG,35,NOH,79,22,28.4,3.7,9.3,.395,1.7,5.4,.315,2.0,3.9,.508,.487,1.6,1.8,.854,0.8,2.1,2.9,3.9,1.7,0.2,2.0,1.9,10.6
87,P.J. Brown\brownpj01,PF,34,NOH,80,80,34.4,4.2,8.9,.476,0.0,0.0,.000,4.2,8.9,.477,.476,2.0,2.3,.854,3.0,5.7,8.6,1.9,1.0,0.9,1.3,2.5,10.5
88,Tyronn Lue\luety01,PG,26,ORL,76,69,30.7,4.1,9.4,.433,1.1,2.8,.383,3.0,6.6,.453,.489,1.3,1.7,.771,0.3,2.1,2.5,4.2,0.8,0.1,1.6,2.4,10.5
89,Mark Blount\blounma01,C,28,BOS,82,73,29.3,4.2,7.4,.566,0.0,0.0,,4.2,7.4,.566,.566,1.9,2.7,.719,2.5,4.7,7.2,0.9,1.0,1.3,1.8,3.1,10.3
90,Tayshaun Prince\princta01,SF,23,DET,82,80,32.9,4.1,8.8,.467,0.7,1.9,.363,3.4,6.9,.496,.507,1.3,1.7,.766,1.1,3.6,4.8,2.3,0.8,0.8,1.5,1.8,10.3
91,Eric Snow\snower01,PG,30,PHI,82,82,36.2,3.6,8.7,.413,0.0,0.2,.111,3.6,8.5,.420,.414,3.1,3.9,.797,0.8,2.7,3.4,6.9,1.2,0.1,2.3,2.6,10.3
92,Rafer Alston\alstora01,PG,27,MIA,82,28,31.5,3.5,9.3,.376,2.0,5.3,.371,1.5,4.0,.382,.481,1.3,1.6,.769,0.3,2.4,2.8,4.5,1.4,0.2,1.6,2.6,10.2
93,Earl Boykins\boykiea01,SG,27,DEN,82,3,22.5,3.9,9.3,.419,0.7,2.1,.322,3.2,7.3,.447,.455,1.7,2.0,.877,0.5,1.2,1.7,3.6,0.6,0.0,1.2,1.0,10.2
94,Doug Christie\chrisdo01,SG,33,SAC,82,82,33.9,3.9,8.4,.461,0.6,1.7,.345,3.3,6.7,.491,.496,1.8,2.1,.860,0.8,3.2,4.0,4.2,1.8,0.5,1.9,2.3,10.1
95,Reggie Miller*\millere01,SG,38,IND,80,80,28.2,3.3,7.4,.438,1.7,4.2,.401,1.6,3.3,.485,.551,1.8,2.1,.885,0.2,2.1,2.4,3.1,0.8,0.1,0.9,1.2,10.0
96,Eric Williams\willier01,SF,31,TOT,71,36,26.6,3.3,8.4,.386,0.5,1.8,.276,2.8,6.6,.416,.416,3.0,4.0,.760,0.9,3.1,4.0,1.7,1.0,0.1,1.2,2.5,10.0
97,Vlade Divac*\divacvl01,C,35,SAC,81,81,28.6,3.9,8.2,.470,0.0,0.2,.154,3.9,8.1,.476,.472,2.1,3.2,.654,1.7,4.0,5.7,5.3,0.7,1.0,2.1,2.7,9.9
98,Brian Cardinal\cardibr01,PF,26,GSW,76,11,21.5,2.9,6.1,.472,0.7,1.6,.444,2.2,4.5,.482,.531,3.1,3.6,.878,1.3,2.9,4.2,1.4,0.9,0.3,1.1,2.7,9.6
99,Jarvis Hayes\hayesja01,SF,22,WAS,70,42,29.2,4.0,9.9,.400,0.6,1.9,.305,3.4,8.1,.422,.429,1.1,1.4,.786,1.0,2.8,3.8,1.5,1.0,0.2,1.6,2.2,9.6
100,Mehmet Okur\okurme01,PF,24,DET,71,33,22.3,3.5,7.6,.463,0.3,0.7,.375,3.3,7.0,.472,.480,2.3,2.9,.775,2.3,3.7,5.9,1.0,0.5,0.9,1.4,1.9,9.6
101,Ben Wallace\wallabe01,C,29,DET,81,81,37.7,3.9,9.2,.421,0.0,0.1,.125,3.9,9.1,.424,.422,1.8,3.6,.490,4.0,8.4,12.4,1.7,1.8,3.0,1.5,2.0,9.5
102,Corliss Williamson\willico02,PF,30,DET,79,0,19.9,3.8,7.6,.505,0.0,0.0,,3.8,7.6,.505,.505,1.8,2.5,.731,1.1,2.1,3.2,0.7,0.4,0.3,1.4,2.6,9.5
103,Juan Dixon\dixonju01,SG,25,WAS,71,16,20.8,3.5,9.0,.388,0.8,2.8,.298,2.6,6.2,.428,.434,1.6,2.0,.799,0.4,1.7,2.1,1.9,1.2,0.1,1.5,1.6,9.4
