Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Allen Iverson*\iversal01,SG,25,PHI,71,71,42.0,10.7,25.5,.420,1.4,4.3,.320,9.4,21.2,.441,.447,8.2,10.1,.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1
2,Jerry Stackhouse\stackje01,SG,26,DET,80,80,40.2,9.7,24.1,.402,2.1,5.9,.351,7.6,18.2,.418,.445,8.3,10.1,.822,1.2,2.7,3.9,5.1,1.2,0.7,4.1,2.0,29.8
3,Shaquille O'Neal*\onealsh01,C,28,LAL,74,74,39.5,11.0,19.2,.572,0.0,0.0,.000,11.0,19.2,.573,.572,6.7,13.1,.513,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7
4,Kobe Bryant*\bryanko01,SG,22,LAL,68,68,40.9,10.3,22.2,.464,0.9,2.9,.305,9.4,19.3,.489,.484,7.0,8.2,.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5
5,Vince Carter\cartevi01,SF,24,TOR,75,75,39.7,10.2,22.1,.460,2.2,5.3,.408,8.0,16.8,.477,.509,5.1,6.7,.765,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6
6,Chris Webber\webbech01,PF,27,SAC,70,70,40.5,11.2,23.4,.481,0.0,0.4,.071,11.2,23.0,.488,.481,4.6,6.6,.703,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1
7,Tracy McGrady*\mcgratr01,SG,21,ORL,77,77,40.1,10.2,22.4,.457,0.8,2.2,.355,9.5,20.2,.468,.474,5.6,7.6,.733,2.5,5.0,7.5,4.6,1.5,1.5,2.6,2.1,26.8
8,Paul Pierce\piercpa01,SF,23,BOS,82,82,38.0,8.4,18.5,.454,1.8,4.7,.383,6.6,13.8,.478,.503,6.7,9.0,.745,1.1,5.2,6.4,3.1,1.7,0.8,3.2,3.1,25.3
9,Antawn Jamison\jamisan01,SF,24,GSW,82,82,41.4,9.8,22.1,.442,0.8,2.5,.302,9.0,19.6,.459,.459,4.7,6.5,.715,3.4,5.3,8.7,2.0,1.4,0.3,2.4,2.7,24.9
10,Stephon Marbury\marbust01,PG,23,NJN,67,67,38.2,8.4,19.1,.441,1.6,5.0,.328,6.8,14.1,.481,.484,5.4,6.8,.790,0.8,2.3,3.1,7.6,1.2,0.1,2.9,2.2,23.9
11,Antoine Walker\walkean02,PF,24,BOS,81,81,41.9,8.8,21.2,.413,2.7,7.4,.367,6.0,13.8,.439,.478,3.1,4.3,.716,1.9,7.0,8.9,5.5,1.7,0.6,3.7,3.1,23.4
12,Karl Malone*\malonka01,PF,37,UTA,81,81,35.7,8.3,16.6,.498,0.0,0.1,.400,8.2,16.5,.499,.499,6.6,8.3,.793,1.4,6.9,8.3,4.5,1.1,0.8,3.0,2.7,23.2
13,Gary Payton*\paytoga01,PG,32,SEA,79,79,41.1,9.2,20.1,.456,1.3,3.4,.375,7.9,16.7,.472,.488,3.4,4.5,.766,0.9,3.6,4.6,8.1,1.6,0.3,2.6,2.3,23.1
14,Tim Duncan*\duncati01,PF,24,SAS,82,82,38.7,8.6,17.1,.499,0.1,0.3,.259,8.5,16.8,.504,.502,5.0,8.1,.618,3.2,9.0,12.2,3.0,0.9,2.3,3.0,3.0,22.2
15,Ray Allen*\allenra02,SG,25,MIL,82,82,38.2,7.7,16.0,.480,2.5,5.7,.433,5.2,10.3,.506,.557,4.2,4.8,.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0
16,Kevin Garnett*\garneke01,PF,24,MIN,81,81,39.5,8.7,18.2,.477,0.2,0.8,.288,8.5,17.4,.486,.484,4.4,5.8,.764,2.7,8.7,11.4,5.0,1.4,1.8,2.8,2.5,22.0
17,Glenn Robinson\robingl01,SF,28,MIL,76,74,37.0,9.0,19.2,.468,0.7,2.4,.299,8.3,16.8,.493,.487,3.3,4.0,.820,1.6,5.3,6.9,3.3,1.1,0.8,2.9,2.5,22.0
18,Dirk Nowitzki\nowitdi01,PF,22,DAL,82,82,38.1,7.2,15.2,.474,1.8,4.8,.387,5.4,10.5,.513,.534,5.5,6.6,.838,1.5,7.7,9.2,2.1,1.0,1.2,1.9,3.0,21.8
19,Michael Finley\finlemi01,SF,27,DAL,82,82,42.0,8.7,18.9,.458,1.1,3.2,.346,7.6,15.7,.481,.487,3.1,4.0,.775,1.3,3.9,5.2,4.4,1.4,0.4,2.3,2.1,21.5
20,Antonio McDyess\mcdyean01,PF,26,DEN,70,70,36.5,8.2,16.6,.495,0.0,0.0,,8.2,16.6,.495,.495,4.3,6.2,.700,3.4,8.6,12.1,2.1,0.6,1.5,2.3,3.1,20.8
21,Shareef Abdur-Rahim\abdursh01,SF,24,VAN,81,81,40.0,7.5,15.8,.472,0.1,0.8,.188,7.3,15.0,.487,.477,5.5,6.6,.834,2.2,6.9,9.1,3.1,1.1,1.0,2.9,2.9,20.5
22,Jalen Rose\roseja01,SF,28,IND,72,72,40.9,7.9,17.3,.457,0.8,2.4,.339,7.1,14.8,.476,.480,4.0,4.8,.828,0.5,4.5,5.0,6.0,0.9,0.6,2.9,3.2,20.5
23,Peja Stojaković\stojape01,SF,23,SAC,75,75,38.7,7.5,15.9,.470,1.9,4.8,.400,5.5,11.1,.501,.531,3.6,4.2,.856,1.2,4.5,5.8,2.2,1.2,0.2,1.9,1.9,20.4
24,Elton Brand\brandel01,PF,21,CHI,74,74,39.3,7.8,16.4,.476,0.0,0.0,.000,7.8,16.4,.477,.476,4.5,6.4,.708,3.9,6.2,10.1,3.2,1.0,1.6,3.0,3.3,20.1
25,Jamal Mashburn\mashbja01,SF,28,CHH,76,76,39.3,7.5,18.3,.413,1.4,3.8,.356,6.2,14.5,.428,.450,3.7,4.8,.766,1.2,6.4,7.6,5.4,1.1,0.2,2.8,2.4,20.1
26,Steve Francis\francst01,PG,23,HOU,80,79,39.9,6.9,15.2,.451,1.7,4.2,.396,5.2,11.0,.472,.506,4.5,5.5,.817,2.4,4.5,6.9,6.5,1.8,0.4,3.3,3.4,19.9
27,Jason Terry\terryja01,SG,23,ATL,82,77,37.7,7.3,16.7,.436,1.5,3.8,.395,5.8,12.8,.448,.481,3.7,4.4,.846,0.5,2.8,3.3,4.9,1.3,0.1,2.9,2.5,19.7
28,Cuttino Mobley\moblecu01,SG,25,HOU,79,49,38.0,6.7,15.4,.434,1.1,3.2,.357,5.5,12.2,.454,.471,5.0,6.0,.831,1.1,4.0,5.0,2.5,1.1,0.3,2.1,2.1,19.5
29,Rasheed Wallace\wallara01,PF,26,POR,77,75,38.2,7.7,15.3,.501,0.7,2.1,.321,7.0,13.2,.530,.523,3.2,4.2,.766,1.9,5.9,7.8,2.8,1.2,1.8,2.1,2.7,19.2
30,Reggie Miller*\millere01,SG,35,IND,81,81,39.3,6.4,14.5,.440,2.1,5.7,.366,4.3,8.8,.487,.512,4.0,4.3,.928,0.5,3.0,3.5,3.2,1.0,0.2,1.6,2.0,18.9
31,Allan Houston\houstal01,SG,29,NYK,78,78,36.6,6.9,15.5,.449,1.2,3.2,.381,5.7,12.3,.467,.488,3.6,3.9,.909,0.3,3.4,3.6,2.2,0.7,0.1,2.1,2.4,18.7
