Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Allen Iverson*\iversal01,SG,26,PHI,60,59,43.7,11.1,27.8,.398,1.3,4.5,.291,9.8,23.4,.419,.422,7.9,9.8,.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4
2,Shaquille O'Neal*\onealsh01,C,29,LAL,67,66,36.1,10.6,18.3,.579,0.0,0.0,.000,10.6,18.3,.580,.579,5.9,10.7,.555,3.5,7.2,10.7,3.0,0.6,2.0,2.6,3.0,27.2
3,Paul Pierce\piercpa01,SG,24,BOS,82,82,40.3,8.6,19.5,.442,2.6,6.3,.404,6.1,13.1,.461,.508,6.3,7.8,.809,1.0,5.9,6.9,3.2,1.9,1.0,2.9,2.9,26.1
4,Tracy McGrady*\mcgratr01,SG,22,ORL,76,76,38.3,9.4,20.9,.451,1.4,3.7,.364,8.1,17.1,.470,.483,5.5,7.3,.748,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8,25.6
5,Tim Duncan*\duncati01,PF,25,SAS,82,82,40.6,9.3,18.3,.508,0.0,0.1,.100,9.3,18.2,.511,.508,6.8,8.5,.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5
6,Kobe Bryant*\bryanko01,SG,23,LAL,80,80,38.3,9.4,20.0,.469,0.4,1.7,.250,9.0,18.3,.489,.479,6.1,7.4,.829,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2
7,Vince Carter\cartevi01,SG,25,TOR,60,60,39.8,9.3,21.8,.428,2.0,5.2,.387,7.3,16.6,.441,.474,4.1,5.1,.798,2.3,2.9,5.2,4.0,1.6,0.7,2.6,3.2,24.7
8,Dirk Nowitzki\nowitdi01,C,23,DAL,76,76,38.0,7.9,16.6,.477,1.8,4.6,.397,6.1,11.9,.508,.532,5.8,6.8,.853,1.6,8.4,9.9,2.4,1.1,1.0,1.9,2.9,23.4
9,Karl Malone*\malonka01,PF,38,UTA,80,80,38.0,7.9,17.5,.454,0.1,0.3,.360,7.8,17.2,.456,.457,6.4,8.0,.797,1.8,6.8,8.6,4.3,1.9,0.7,3.3,2.9,22.4
10,Gary Payton*\paytoga01,PG,33,SEA,82,82,40.3,9.0,19.2,.467,0.9,2.9,.314,8.1,16.4,.494,.490,3.3,4.1,.797,1.0,3.9,4.8,9.0,1.6,0.3,2.5,2.2,22.1
11,Antoine Walker\walkean02,PF,25,BOS,81,81,42.0,8.2,20.9,.394,2.7,8.0,.344,5.5,12.9,.425,.460,3.0,4.0,.741,1.9,7.0,8.8,5.0,1.5,0.5,3.1,2.9,22.1
12,Ray Allen*\allenra02,SG,26,MIL,69,67,36.6,7.7,16.6,.462,3.3,7.7,.434,4.4,9.0,.485,.561,3.1,3.6,.873,1.2,3.3,4.5,3.9,1.3,0.3,2.3,2.3,21.8
13,Cuttino Mobley\moblecu01,SG,26,HOU,74,74,42.1,8.0,18.4,.438,2.0,5.1,.395,6.0,13.3,.455,.493,3.6,4.2,.850,0.9,3.2,4.1,2.5,1.5,0.5,2.4,2.6,21.7
14,Jerry Stackhouse\stackje01,SF,27,DET,76,76,35.3,6.9,17.4,.397,1.1,3.9,.287,5.8,13.4,.430,.430,6.5,7.6,.858,1.0,3.1,4.1,5.3,1.0,0.5,3.5,2.1,21.4
15,Shareef Abdur-Rahim\abdursh01,PF,25,ATL,77,77,38.7,7.8,16.8,.461,0.3,0.9,.300,7.5,15.9,.470,.469,5.4,6.8,.801,2.6,6.5,9.0,3.1,1.3,1.1,3.2,2.8,21.2
16,Kevin Garnett*\garneke01,PF,25,MIN,81,81,39.2,8.1,17.3,.470,0.5,1.4,.319,7.7,15.9,.484,.484,4.4,5.5,.801,3.0,9.1,12.1,5.2,1.2,1.6,2.8,2.3,21.2
17,Peja Stojaković\stojape01,SF,24,SAC,71,71,37.3,7.7,15.9,.484,1.8,4.4,.416,5.9,11.5,.510,.541,4.0,4.5,.876,1.0,4.2,5.3,2.5,1.1,0.2,2.0,1.7,21.2
18,Michael Finley\finlemi01,SF,28,DAL,69,69,39.9,8.2,17.8,.463,1.1,3.2,.339,7.1,14.6,.491,.494,3.0,3.6,.837,1.3,3.9,5.2,3.3,0.9,0.4,1.7,2.1,20.6
19,Allan Houston\houstal01,SG,30,NYK,77,77,37.8,7.4,16.9,.437,1.8,4.5,.393,5.6,12.4,.452,.489,3.8,4.4,.870,0.5,2.8,3.3,2.5,0.7,0.1,2.2,2.4,20.4
20,Stephon Marbury\marbust01,PG,24,PHO,82,80,38.9,7.6,17.2,.442,0.9,3.0,.286,6.8,14.2,.476,.467,4.3,5.5,.781,0.9,2.3,3.2,8.1,0.9,0.2,3.5,2.3,20.4
21,Jalen Rose\roseja01,SF,29,TOT,83,83,38.0,8.0,17.6,.455,1.1,3.0,.362,6.9,14.6,.474,.485,3.4,4.0,.839,0.5,4.0,4.5,4.3,0.9,0.5,2.4,3.0,20.4
22,Sam Cassell\cassesa01,PG,32,MIL,74,73,35.2,7.5,16.2,.463,1.0,2.8,.348,6.5,13.4,.486,.492,3.8,4.4,.860,0.7,3.5,4.2,6.7,1.2,0.2,2.4,2.8,19.7
23,Antawn Jamison\jamisan01,SF,25,GSW,82,82,37.0,7.5,16.8,.447,0.8,2.6,.324,6.7,14.2,.469,.471,3.9,5.4,.734,2.6,4.2,6.8,2.0,0.9,0.5,2.0,2.3,19.7
24,Latrell Sprewell\sprewla01,SF,31,NYK,81,81,41.1,7.1,17.5,.404,1.8,5.0,.360,5.3,12.5,.421,.455,3.5,4.3,.821,0.7,3.0,3.7,3.9,1.2,0.2,2.8,2.0,19.4
25,Jason Terry\terryja01,SG,24,ATL,78,78,38.0,6.7,15.6,.430,2.2,5.7,.387,4.5,9.9,.454,.500,3.6,4.4,.835,0.5,2.9,3.5,5.7,1.8,0.2,2.3,2.0,19.3
26,Rasheed Wallace\wallara01,PF,27,POR,79,79,37.5,7.6,16.3,.469,1.4,4.0,.360,6.2,12.3,.504,.513,2.5,3.5,.734,1.7,6.4,8.2,1.9,1.3,1.3,1.7,2.7,19.3
27,Shawn Marion\mariosh01,SF,23,PHO,81,81,38.4,8.1,17.2,.469,0.6,1.5,.393,7.5,15.7,.476,.486,2.4,2.8,.845,2.6,7.3,9.9,2.0,1.8,1.1,1.8,2.6,19.1
28,Jermaine O'Neal\onealje01,PF,23,IND,72,72,37.6,7.5,15.7,.479,0.0,0.2,.071,7.5,15.5,.484,.480,3.9,5.7,.688,2.6,7.9,10.5,1.6,0.6,2.3,2.4,3.7,19.0
