winner,loser,probability
Detroit Pistons,Milwaukee Bucks,0.557221188956
Brooklyn Nets,Los Angeles Lakers,0.54332859818
New York Knicks,Phoenix Suns,0.510349754618
Oklahoma City Thunder,Boston Celtics,0.579817910319
Orlando Magic,Chicago Bulls,0.58728927838
Indiana Pacers,Philadelphia 76ers,0.540474376329
San Antonio Spurs,Charlotte Hornets,0.5681076124
Utah Jazz,Toronto Raptors,0.61126772867
Washington Wizards,Cleveland Cavaliers,0.559895644582
Chicago Bulls,New Orleans Pelicans,0.542542478577
Denver Nuggets,Golden State Warriors,0.580080584251
Sacramento Kings,Detroit Pistons,0.504489520118
Memphis Grizzlies,Los Angeles Clippers,0.503030260143
Minnesota Timberwolves,Dallas Mavericks,0.527252390035
Cleveland Cavaliers,Atlanta Hawks,0.530505951178
Houston Rockets,Utah Jazz,0.548678703958
Miami Heat,Los Angeles Clippers,0.500715616382
Los Angeles Lakers,Memphis Grizzlies,0.50840967978
Minnesota Timberwolves,Charlotte Hornets,0.628837313245
New York Knicks,Indiana Pacers,0.517972685702
Boston Celtics,Orlando Magic,0.512023226391
Portland Trail Blazers,Oklahoma City Thunder,0.61249920545
San Antonio Spurs,Phoenix Suns,0.548760265199
Toronto Raptors,Washington Wizards,0.6439537839
Atlanta Hawks,Boston Celtics,0.524000924526
Miami Heat,Golden State Warriors,0.552467053317
Brooklyn Nets,Phoenix Suns,0.525146739449
Cleveland Cavaliers,Milwaukee Bucks,0.528554867113
Denver Nuggets,Brooklyn Nets,0.507109918559
New Orleans Pelicans,Indiana Pacers,0.535929177711
New York Knicks,Charlotte Hornets,0.529933269555
Memphis Grizzlies,Portland Trail Blazers,0.513431393654
Sacramento Kings,Oklahoma City Thunder,0.602512482221
San Antonio Spurs,Los Angeles Clippers,0.562007341483
Toronto Raptors,Chicago Bulls,0.639191758673
Philadelphia 76ers,Utah Jazz,0.523472291912
Dallas Mavericks,Washington Wizards,0.552845240203
Los Angeles Lakers,Boston Celtics,0.515268592731
Detroit Pistons,Indiana Pacers,0.517291768974
Golden State Warriors,Minnesota Timberwolves,0.598831284962
New York Knicks,Orlando Magic,0.500984970259
Phoenix Suns,Miami Heat,0.528962269756
Denver Nuggets,Oklahoma City Thunder,0.678612327906
Houston Rockets,Cleveland Cavaliers,0.536578265338
Philadelphia 76ers,Sacramento Kings,0.546815010749
Toronto Raptors,New Orleans Pelicans,0.52079664854
Washington Wizards,Los Angeles Lakers,0.532815324499
Boston Celtics,Charlotte Hornets,0.503349308272
Chicago Bulls,Indiana Pacers,0.588238334866
Detroit Pistons,Atlanta Hawks,0.559152586761
Oklahoma City Thunder,Los Angeles Clippers,0.609095945905
Phoenix Suns,Orlando Magic,0.533461071518
Brooklyn Nets,Portland Trail Blazers,0.564914194522
San Antonio Spurs,Milwaukee Bucks,0.595530664724
Utah Jazz,Miami Heat,0.501871801975
Cleveland Cavaliers,Dallas Mavericks,0.569333937156
Denver Nuggets,Orlando Magic,0.565412469213
Philadelphia 76ers,Golden State Warriors,0.577395107935
Memphis Grizzlies,Houston Rockets,0.520704201706
Milwaukee Bucks,Los Angeles Lakers,0.528268999514
Los Angeles Clippers,New Orleans Pelicans,0.525845139662
Sacramento Kings,New York Knicks,0.503807802496
Phoenix Suns,Minnesota Timberwolves,0.674195006121
San Antonio Spurs,Chicago Bulls,0.629179347459
Brooklyn Nets,Utah Jazz,0.552101079467
Washington Wizards,Atlanta Hawks,0.580911246799
Boston Celtics,Toronto Raptors,0.567871333954
Miami Heat,Detroit Pistons,0.517051765004
Indiana Pacers,Houston Rockets,0.511597510422
Oklahoma City Thunder,Dallas Mavericks,0.512552585499
Orlando Magic,Golden State Warriors,0.547996236638
Philadelphia 76ers,Los Angeles Clippers,0.526053367281
Memphis Grizzlies,Milwaukee Bucks,0.501738517662
New Orleans Pelicans,Atlanta Hawks,0.510479234536
